State,Varkens,Kippen,Kalkoenen,Slachteenden,Overig pluimvee,Konijnen,Edelpelsdieren
2000,10632494,94662864,1461160,617210,252085,298690,569503
2001,10769720,91186239,1435150,592856,194670,288879,605102
2002,9541647,92224618,1379170,586812,240483,290402,606238
2003,9198325,71891561,1065530,461496,159465,261636,604849
2004,9275248,77723631,1150490,491067,210144,267118,627387
2005,9570919,84781962,1142110,761409,242722,301291,690787
2006,9737007,84455711,1083390,747326,340032,255439,694922
2007,10110302,84785370,1155009,847518,476424,331514,803907
2008,10479884,88612149,970419,807913,337365,300537,854610
2009,10791271,89661804,1003078,872521,479071,276748,864036
2010,11003280,93134256,978143,867977,204205,274681,953249
2011,11262264,89432043,928086,823218,170995,273685,961200
2012,11188833,88283417,771822,745116,77864,305406,1012180
2013,11227140,91688509,793988,641602,56164,292261,1017201
2014,11294616,96883548,736838,733666,49800,285459,998036
2015,11695469,100551992,827154,777934,43953,357138,1020134
2016,11606298,98130078,723985,771259,31993,344303,912741
