datum	SO: 3 000 tot 25 000 euro	SO: 25 000 tot 100 000 euro	SO: 100 000 tot 250 000 euro	SO: 250 000 tot 500 000 euro	SO: 500 000 tot 1 000 000 euro	SO: 1 000 000 tot 1 500 000 euro	SO: 1 500 000 tot 3 000 000 euro	SO:  meer dan 3 000 000 euro
2000	457	9025	21140	31156	21367	3766	2266	666
2001	411	7528	18892	29955	22721	4499	2139	634
2002	363	7130	19397	30561	23362	4989	2421	265
2003	331	6880	16960	28207	19464	4180	2902	257
2004	328	6474	15947	26613	20501	5232	2819	756
2005	308	6170	16125	27689	22858	6105	2402	594
2006	231	6132	14991	25737	22151	6279	2685	1521
2007	216	5635	14983	25204	24244	6671	3959	1218
2008	217	5154	13769	23334	25146	7516	4360	1312
2009	195	4216	12174	21406	24299	8777	5209	1307
2010	135	3367	9861	17890	24923	11167	6376	2241
2011	126	3372	8515	15720	23829	10674	7128	2488
2012	131	2901	7567	13966	22254	12057	6691	2858
2013	68	1857	6307	10539	22891	11838	10783	3452
2014	51	1802	5419	9916	20802	11990	12110	3484
2015	50	1820	5417	8921	19881	12992	10916	5272
2016	31	977	4350	7046	16821	11850	13904	5840
